1,Project Bantu (M),30,,,,,
2,RED 3 (Renovate to Educate) (M),30,,,,,
3,SBP (M),30,,,,,
4,Hospicio de San Jose: Welfare Institution (M),30,,,,,
5,Kids International (M),30,,,,,
6,Papaya Academy HS students (M),30,,,,,
7,Comembo ES (M),30,,,,,
8,Papaya Academy ES Students (M),30,,,,,
9,Philippine Inst. for the Deaf PID (M),30,,,,,
10,Project Best at Buting ES (M),30,,,,,
11,RED 1 (Renovate to Educate) (M),30,,,,,
12,RED 2 (Renovate to Educate) (M),30,,,,,
13,Special Olympics w/ADB (M),30,,,,,
14,SPECS (M),30,,,,,
15,Young Focus:Love2Learn (M),30,,,,,
